transaction_id,account_id,transaction_type,amount,transaction_date,merchant,payment_method,status
1,1,Withdrawal,7161.99,2026-05-17 11:23:30,"Blackwell, Burgess and Martinez",POS,Failed
2,1,Deposit,11455.66,2026-03-05 09:19:22,Sparks-Goodman,Online,Pending
3,1,Transfer,32652.57,2025-12-27 18:19:17,"Powell, Juarez and Rojas",Mobile App,Completed
4,1,Withdrawal,1064.4,2025-08-30 13:08:18,Thompson Inc,Online,Completed
5,1,Deposit,31348.39,2025-09-14 18:39:22,Williams PLC,Online,Completed
6,1,Purchase,31122.0,2025-08-02 21:27:42,"Ortiz, Kim and Hess",Online,Failed
7,1,Purchase,22860.96,2025-06-19 07:16:44,Gray-Collins,POS,Pending
8,1,Deposit,14113.74,2025-03-16 10:47:39,Roberts-Weaver,POS,Failed
9,1,Deposit,41157.1,2025-05-10 09:05:50,Bryan-Rodriguez,Mobile App,Pending
10,1,Withdrawal,5836.29,2024-12-21 18:46:04,"Coleman, Tyler and Scott",POS,Pending
11,1,Purchase,16394.75,2024-10-03 02:35:43,Peters-Lutz,ATM,Pending
12,1,Withdrawal,17112.56,2025-06-26 07:02:06,"Moore, Chandler and Morales",POS,Completed
13,1,Purchase,46406.02,2025-03-25 16:54:21,Wilson Inc,ATM,Pending
14,1,Purchase,32553.61,2024-10-31 01:56:37,Williams-Schmidt,Mobile App,Failed
15,1,Deposit,8729.07,2025-11-16 17:40:56,"Wilson, Davidson and Hanson",Mobile App,Failed
16,1,Withdrawal,14960.79,2024-08-12 02:27:44,Anthony Inc,ATM,Failed
17,1,Purchase,32940.14,2025-06-29 14:37:12,"Carter, Russell and Holt",Online,Pending
18,1,Transfer,13171.55,2024-11-14 11:57:14,"Clark, Keller and Shelton",Online,Pending
19,1,Transfer,8476.46,2024-12-24 09:28:34,"White, Goodwin and Fleming",POS,Failed
20,1,Purchase,23922.57,2026-03-26 17:51:19,Nelson LLC,Online,Failed
21,1,Deposit,17320.8,2025-11-14 21:53:36,Collins-Brown,ATM,Pending
22,1,Transfer,42662.38,2024-11-07 15:50:45,"Brown, Sims and Smith",Online,Completed
23,1,Deposit,45559.06,2025-08-16 00:30:21,"Morris, Martinez and Lang",Mobile App,Pending
24,1,Purchase,40744.8,2025-11-24 22:27:48,"Russell, Murphy and Daniels",Mobile App,Completed
25,1,Transfer,43179.16,2026-02-14 04:58:30,Powell-Caldwell,POS,Completed
26,1,Transfer,7652.33,2026-01-10 16:33:43,"Hall, Cook and Randall",Mobile App,Completed
27,1,Deposit,2493.86,2025-08-01 15:23:57,Lamb-Bond,ATM,Pending
28,1,Withdrawal,29009.67,2026-07-12 00:33:32,Watson-Brown,ATM,Completed
29,1,Purchase,2101.57,2024-10-07 22:11:40,Carson Group,Mobile App,Failed
30,1,Purchase,39442.27,2025-11-24 01:36:10,Owens-Patterson,Mobile App,Pending
31,1,Withdrawal,49622.94,2025-10-08 08:18:43,"Hodges, Barton and White",POS,Completed
32,1,Transfer,457.42,2024-11-17 04:15:55,"Lewis, Lopez and Weaver",ATM,Completed
33,1,Withdrawal,15436.92,2025-04-30 12:40:49,"Myers, Knight and Hall",Mobile App,Failed
34,1,Purchase,178.79,2026-04-22 12:43:20,"Barker, Ewing and Shields",Online,Completed
35,1,Transfer,47389.11,2026-01-15 14:16:33,Ramirez-Hanson,Mobile App,Failed
36,1,Deposit,36057.17,2025-11-06 00:11:00,Hall-Lozano,POS,Pending
37,1,Purchase,29930.13,2024-09-22 13:36:43,"Li, Lopez and Johnson",Online,Pending
38,1,Withdrawal,33549.9,2024-11-22 03:25:40,Miller-Franklin,Mobile App,Pending
39,1,Transfer,8320.66,2025-07-15 23:11:59,"Kelly, Johnson and Simpson",Mobile App,Failed
40,1,Withdrawal,46349.35,2024-12-22 11:02:11,Jefferson-Clayton,ATM,Pending
41,1,Withdrawal,34279.68,2026-05-28 05:26:39,Keller Group,Mobile App,Completed
42,1,Transfer,27066.73,2025-10-05 14:43:57,Rangel LLC,Mobile App,Completed
43,1,Withdrawal,44401.44,2024-09-08 10:50:47,"Wright, Olson and Sanchez",POS,Pending
44,1,Deposit,14435.98,2026-03-11 18:09:48,Russell-Burgess,Online,Completed
45,1,Deposit,32649.58,2026-06-10 16:44:17,Olson PLC,Mobile App,Completed
46,1,Deposit,29829.95,2026-05-25 09:11:50,Scott-Baker,Online,Completed
47,1,Transfer,1415.19,2025-05-16 20:08:09,Bernard-Rios,ATM,Failed
48,1,Withdrawal,10742.16,2025-05-06 02:47:04,Mann Inc,ATM,Pending
49,1,Deposit,38876.69,2025-05-25 06:28:19,Schultz-Best,POS,Completed
50,1,Transfer,33756.86,2024-08-12 19:50:42,Maxwell-Neal,Mobile App,Pending
51,1,Deposit,43445.06,2024-10-10 14:34:16,Moore Ltd,Online,Failed
52,1,Transfer,48817.7,2026-02-23 13:56:35,"Jones, Gonzalez and Berger",ATM,Failed
53,1,Transfer,7012.88,2025-02-02 19:15:29,Foster-Briggs,POS,Failed
54,1,Deposit,25953.69,2026-04-03 07:53:27,Wilcox-Miller,Mobile App,Pending
55,1,Withdrawal,4776.39,2025-03-04 15:30:09,Miles Group,Mobile App,Completed
56,1,Deposit,18900.8,2026-06-02 23:06:38,"Miller, Williams and Elliott",Online,Pending
57,1,Transfer,41165.59,2025-03-23 07:28:37,Black PLC,ATM,Completed
58,1,Transfer,34640.1,2026-02-14 12:54:12,Moody-Griffith,ATM,Failed
59,1,Deposit,41292.4,2025-01-08 12:05:27,Thompson and Sons,POS,Completed
60,1,Transfer,36141.66,2026-02-19 16:31:34,"Taylor, Hart and Bennett",Mobile App,Failed
61,1,Purchase,43456.31,2025-07-31 20:47:54,Lopez-Garrison,POS,Failed
62,1,Transfer,24435.07,2025-08-04 23:20:54,"Lucas, White and Murray",Mobile App,Completed
63,1,Purchase,44025.33,2026-01-03 17:39:01,"Gonzalez, Key and Miller",Online,Pending
64,1,Transfer,25769.15,2024-12-08 00:23:42,Moran-Perry,ATM,Completed
